recipient_genome	recipient_contig	break_position (bp)	inserted_sequence
BAD	BAD	56189	AAM_03063
BAD	BAD	603955	AKV_01007
BAD	BAD	1145328	ARL_01226
BAD	BAD	1452045	ASN_04073
BAD	BAD	2350672	AMAU_02632
BAD	BAD	2813053	ASJ_00197
BAD	BAD	2964367	ATM_00526
BAD	BAD	3285900	AMAC_01196
BAD	BAD	3594101	ARS_03086
BAD	BAD	4846856	AMS_01785
BDS	BDS	205995	AKV_00943
BDS	BDS	647783	ATM_01561
BDS	BDS	1014631	ASJ_02645
BDS	BDS	2079908	ASN_02939
BDS	BDS	2241577	ARL_00634
BDS	BDS	2313431	AMS_01465
BDS	BDS	2809307	AMAC_00215
BDS	BDS	3253639	AMAU_02085
BDS	BDS	3273279	AAM_00175
BDS	BDS	3530370	ARS_02444
BGC	BGC	12502	AMAC_01576
BGC	BGC	602403	ASN_01773
BGC	BGC	693958	AMAU_00617
BGC	BGC	921752	AKV_01272
BGC	BGC	1553549	AAM_00176
BGC	BGC	1696855	ARS_00175
BGC	BGC	2303278	ARL_00442
BGC	BGC	2303440	ATM_03442
BGC	BGC	2377854	ASJ_01651
BGC	BGC	2907601	AMS_02653
BHS	BHS	1450529	ARS_03177
BHS	BHS	3114008	AKV_01273
BHS	BHS	3114668	ASN_02864
BHS	BHS	3152548	AMS_03303
BHS	BHS	3300990	AAM_00195
BHS	BHS	4083710	ATM_02182
BHS	BHS	4115223	ASJ_01197
BHS	BHS	4799268	AMAU_05963
BHS	BHS	5073778	AMAC_01674
BHS	BHS	5472250	ARL_01008
BNM	BNM	398047	AAM_00209
BNM	BNM	800387	AMAU_02414
BNM	BNM	890555	ATM_03557
BNM	BNM	1161788	ASN_04445
BNM	BNM	1295242	AMAC_02914
BNM	BNM	2123348	AKV_00282
BNM	BNM	2324584	ASJ_00320
BNM	BNM	2469477	ARL_00629
BNM	BNM	2556197	AMS_03378
BNM	BNM	3145228	ARS_00690
BRT	BRT	138473	AAM_00308
BRT	BRT	493311	ARS_00958
BRT	BRT	521228	ATM_02773
BRT	BRT	588385	AKV_02353
BRT	BRT	708740	AMS_01655
BRT	BRT	996026	ARL_01194
BRT	BRT	1308482	AMAC_03303
BRT	BRT	1385405	AMAU_00830
BRT	BRT	2792802	ASN_03136
BRT	BRT	3265926	ASJ_00902
BSA	BSA	91915	AKV_01812
BSA	BSA	438918	AMAC_00998
BSA	BSA	643526	AMAU_01212
BSA	BSA	778563	ATM_00724
BSA	BSA	987286	AAM_00473
BSA	BSA	1143501	ARS_01255
BSA	BSA	1331152	ASN_03987
BSA	BSA	1990997	AMS_00937
BSA	BSA	2316495	ARL_02642
BSA	BSA	2506804	ASJ_00103
BSD	BSD	22143	AMAU_02488
BSD	BSD	281370	ASJ_00412
BSD	BSD	289019	ATM_03491
BSD	BSD	338912	AKV_00359
BSD	BSD	471768	AMS_02811
BSD	BSD	1492246	ASN_03327
BSD	BSD	2168688	ARL_03413
BSD	BSD	2294018	AMAC_00685
BSD	BSD	2338511	ARS_02706
BSD	BSD	3044779	AAM_00571
BSL	BSL	106739	ASJ_01392
BSL	BSL	632526	AMAU_01255
BSL	BSL	761926	ARS_00911
BSL	BSL	891392	AMS_00102
BSL	BSL	1341027	ARL_03240
BSL	BSL	1405713	AAM_00702
BSL	BSL	1855898	AMAC_00418
BSL	BSL	1918393	AKV_00288
BSL	BSL	2719741	ATM_00976
BSL	BSL	2827584	ASN_00060
BTK	BTK	735654	ASN_02198
BTK	BTK	749483	AMAU_04187
BTK	BTK	801681	AMAC_02518
BTK	BTK	1750836	AMS_01716
BTK	BTK	1887410	ARL_03996
BTK	BTK	1959554	ASJ_03214
BTK	BTK	2185211	ATM_02037
BTK	BTK	2860966	AKV_02380
BTK	BTK	2863445	ARS_02511
BTK	BTK	2977117	AAM_00862
